键码=abcdefghijklmnopqrstuvwxyz;,./
码长=4
规避字符=;iuv
[组词规则]
e2=p11+p12+p21+p22
e3=p11+p12+p21+p31
a4=p11+p21+p31+n11
[数据]
, ，
. 。
/ 、
/, Ⅲ
/. Ⅳ
// ……
/; 拾
/a 〔
/b ≈
/c 【
/d 〈
/e “
/f 〉
/g 《
/h 》
/i ∶
/j 「
/k 」
/l 『
/m ≥
/n ≤
/o ˇ
/p —
/q ‘
/r ”
/s 〕
/t 々
/u ‖
/v 】
/w ’
/x 〗
/y 〃
/z 〖
; ；
;, 乃
;, 刀
;, 九
;, 力
;,, 劭
;,, 奶
;,, 努
;,. 奴
;,.f 姒
;,.l 始
;,.m 妤
;,.v 发
;,/v 絮
;,/y 姆
;,/z 驽
;,/z 驾
;,/z 妈
;,;; 姨
;,;c 娆
;,;h 婕
;,;r 戤
;,;r 妪
;,;t 妣
;,;x 姬
;,bs 嫫
;,dr 妙
;,dv 尕
;,fp 妗
;,fr 嫦
;,gf 贺
;,gh 鼐
;,gh 娌
;,gh 姐
;,gj 勰
;,gj 嫘
;,gj 娉
;,gj 妯
;,gk 姻
;,gr 胬
;,gs 盈
;,gv 皮
;,gx 媸
;,gx 帑
;,ha 媾
;,ha 婧
;,ha 婊
;,hd 妹
;,ht 妩
;,hw 妍
;,hx 奸
;,i. 妫
;,i; 嫌
;,ig 婵
;,ih 姘
;,ik 馗
;,in 娣
;,ja 媒
;,jf 娅
;,ji 嫱
;,jj 嫣
;,jk 姥
;,jl 姑
;,jm 嫖
;,jn 嫩
;,jr 杂
;,jz 嬉
;,kg 颇
;,kh 娠
;,l 召
;,l 加
;,l 如
;,ld 娟
;,lg 娲
;,lh 娱
;,lm 孀
;,m 邵
;,mb 她
;,mk 媚
;,mz 婀
;,mz 孥
;,mz 婿
;,mz 孕
;,mz 好
;,na 妞
;,nb 弩
;,nb 妃
;,nc 妮
;,nc 娓
;,nk 娜
;,nz 妇
;,o 办
;,ob 姹
;,ob 嫔
;,ob 婉
;,ob 婶
;,ob 嫁
;,ph 娘
;,pk 妒
;,po 恕
;,po 怒
;,po 忍
;,pv 迦
;,pv 迢
;,pv 边
;,qa 娥
;,qa 妊
;,qj 姝
;,qj 姓
;,qr 娇
;,qr 妖
;,r 办
;,ri 嫒
;,ri 媛
;,rz 姚
;,s 旮
;,s 旭
;,sg 媪
;,ss 娼
;,sz 妲
;,t; 婚
;,td 姊
;,tg 娩
;,tp 鸠
;,tt 姗
;,tv 妁
;,ub 娴
;,v 刃
;,v 丸
;,v 飞
;,v 及
;,vv 娃
;,w; 嫂
;,wb 媲
;,wn 婢
;,wn 媳
;,x 架
;,y, 妨
;,yc 嬷
;,yg 嬗
;,yi 嫡
;,yi 嫜
;,yl 婷
;,yr 嫉
;,yr 姣
;,yt 袈
;,z 女
;,zl 哿
;. 廴
;. 厶
;. 又
;., 勇
;., 劲
;., 劝
;.,g 皴
;.,z 婺
;.. 双
;..z 羽
;./z 骛
;.;r 戮
;.;r 戳
;.;r 戏
;.f 以
;.fh 鍪
;.fp 矜
;.fy 翟
;.fy 难
;.gh 瞀
;.gh 甬
;.gh 叠
;.gj 蟊
;.gj 蝥
